ReportableVOName,VOName,ProjectName,Count
ATLAS,atlas,atlas.org.uchicago,2398
ATLAS,ATLAS,atlas.org.uchicago,6
ATLAS,ATLAS,atlas.org.utexas,2
ATLAS,atlas,ATLAS_org_UChicago,86
atlas,atlas,UCIAtlas,732
cms,cms,cms,166828
cms,cms,cms.org.brown,11
cms,cms,cms.org.cern,36943
cms,cms,cms.org.colorado,761
cms,cms,cms.org.fnal,3506
cms,cms,cms.org.nd,777
cms,cms,cms.org.purdue,12
cms,cms,cms.org.rochester,472
cms,cms,cms.org.ucr,96
cms,cms,cms.org.ucsd,226
cms,cms,cms.org.ufl,205
cms,cms,cms.org.uic,1
cms,cms,cms.org.wayne,711
cms,cms,osg.ConnectTrain,2
cms,cms,PCFOSGUCSD,137
des,des,des,711
dune,dune,dune,7854
fermilab,annie,annie,174
fermilab,argoneut,argoneut,79
fermilab,darkside,darkside,722
fermilab,egp,egp,74
fermilab,fermilab,fermilab,287
fermilab,fermilab/accel,fermilab/accel,178
fermilab,fermilab/cdf,fermilab/cdf,116
fermilab,fermilab/coupp,fermilab/coupp,1
fermilab,fermilab/ebd,fermilab/ebd,4
fermilab,fermilab/gm2,fermilab/gm2,16
fermilab,fermilab/mu2e,fermilab/mu2e,139
fermilab,fermilab/pip2,fermilab/pip2,1
fermilab,genie,genie,68
fermilab,gm2,gm2,3240
fermilab,icarus,icarus,427
fermilab,lariat,lariat,431
fermilab,microboone,microboone,6577
fermilab,minerva,minerva,1225
fermilab,miniboone,miniboone,5
fermilab,minos,minos,172
fermilab,mu2e,mu2e,1787
fermilab,nova,nova,3770
fermilab,sbnd,sbnd,1208
fermilab,seaquest,seaquest,169
GLOW,glow,GLOW,319
gluex,gluex,ConnectTrain,4
gluex,gluex,GLUEX,2317
gluex,gluex,osg.clas12MC,117
icecube,icecube,IceCube,20321
ligo,ligo,LIGO,497
ligo,ligo,sugwg,14
N/A,N/A,Rutgers,84
osg,osg,AlGDock,849
osg,osg,AMNH,21
osg,osg,ASU-CFD,1364
osg,osg,atlas.org.uchicago,1
osg,osg,atlas.org.utexas,18
osg,osg,BioGraph,86
osg,osg,brainlifeio,566
osg,osg,CatalystHTVS,1088
osg,osg,ceser,22
osg,osg,chemml,2
osg,osg,cms.org.nd,5
osg,osg,ConnectTrain,746
OSG,OSG,ConnectTrain,93
osg,osg,CpDarkMatterSimulation,5258
osg,osg,cyverse,86
osg,osg,DemoSims,5
osg,osg,DetectorDesign,140
osg,osg,Diffpred,2
osg,osg,Diffusion-predictor,105
osg,osg,DOSAR,5
osg,osg,Duke-QGP,319
osg,osg,duke.lsst,113
osg,osg,dVdT,1
osg,osg,electrolytes,50
osg,osg,EvolSims,701
osg,osg,ExoplanetaryACS,208
osg,osg,FDDRCS,682
osg,osg,FEMyo,144
osg,osg,freesurfer,197
osg,osg,HTCC,24
osg,osg,IBN130001-Plus,5280
osg,osg,IceCube,877
osg,osg,IIT_SUBMIT_test,46
osg,osg,IIT_TEST_submit,9
osg,osg,jmkidney,191
osg,osg,lftsim,8
osg,osg,Mapping,3
osg,osg,MCSpinLiquid,326
osg,osg,molcryst,404
osg,osg,networkdist,71
osg,osg,nicesims,233
osg,osg,nnmbl,31
osg,osg,osg,144
osg,osg,OSG-Staff,32
osg,osg,osg.clas12MC,25
osg,osg,osg.ConnectTrain,1
osg,osg,osg.DESDM,1
osg,osg,osg.networkdist,54
osg,osg,osg.OTPCand0vbb,12
osg,osg,OSG.sPHENIX,4
osg,osg,OSURHIT,3
osg,osg,OTPCand0vbb,15
osg,osg,PainDrugs,1351
osg,osg,PCFGOSGUCSD,415
osg,osg,PCFOSGUCSD,99
osg,osg,PegasusTraining,13
osg,osg,PNGtemplate,97
osg,osg,POLARBEAR,142
osg,osg,PorousMaterials,54
osg,osg,PreBioEvo,687
osg,osg,PSFmodeling,280
osg,osg,REDTOP,405
osg,osg,SMRCNTP,41
osg,osg,SNOplus,43
osg,osg,SOL,9
osg,osg,SourceCoding,872
osg,osg,SparseNeuro,3
osg,osg,sPHENIX,23
osg,osg,SPLINTER,3274
osg,osg,spt-all,1
osg,osg,spt.all,2825
osg,osg,SSGAforCSP,165
osg,osg,steward,657
osg,osg,StSNE,148
osg,osg,sugwg,94
osg,osg,sykclusters,419
osg,osg,TEST_IIT_submit,9
osg,osg,TG-AST150033,174
osg,osg,TG-CHE190012,627
osg,osg,TG-DMR160157,1
osg,osg,TG-IBN130001,2796
osg,osg,TG-MCB190026,46
osg,osg,TG-PHY180035,377
osg,osg,TG-TRA140036,39
osg,osg,TG-TRA180032,587
osg,osg,UCF_IT,3
osg,osg,uchicago.campus,371
osg,osg,VERITAS,1452
osg,osg,WUSTL_Harris,178
osg,osg,xenon1t,1946
SBGrid,sbgrid,SBGrid,780
